,poemId,poemFullTitle,poemFullUrl,audioTitle,audioArtist,recitationId,gender
105,9606,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۸۴,/saadi/divan/ghazals/sh284,غزل شمارهٔ  ۲۸۴,افسر آریا,27134,F
106,9599,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۷۷,/saadi/divan/ghazals/sh277,غزل شمارهٔ  ۲۷۷,افسر آریا,25750,F
107,9604,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۸۲,/saadi/divan/ghazals/sh282,غزل شمارهٔ  ۲۸۲,افسر آریا,26909,F
108,9617,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۹۵,/saadi/divan/ghazals/sh295,غزل شمارهٔ  ۲۹۵,افسر آریا,25312,F
109,9602,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۸۰,/saadi/divan/ghazals/sh280,غزل شمارهٔ  ۲۸۰,افسر آریا,25946,F
110,9605,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۸۳,/saadi/divan/ghazals/sh283,غزل شمارهٔ  ۲۸۳,افسر آریا,26910,F
111,9622,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۳۰۰,/saadi/divan/ghazals/sh300,غزل شمارهٔ  ۳۰۰,افسر آریا,24005,F
112,9610,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۸۸,/saadi/divan/ghazals/sh288,غزل شمارهٔ  ۲۸۸,افسر آریا,27264,F
113,9621,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۹۹,/saadi/divan/ghazals/sh299,غزل شمارهٔ  ۲۹۹,افسر آریا,26823,F
114,9625,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۳۰۳,/saadi/divan/ghazals/sh303,غزل شمارهٔ  ۳۰۳,افسر آریا,24008,F
115,9628,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۳۰۶,/saadi/divan/ghazals/sh306,غزل شمارهٔ  ۳۰۶,افسر آریا,25797,F
116,9626,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۳۰۴,/saadi/divan/ghazals/sh304,غزل شمارهٔ  ۳۰۴,افسر آریا,25170,F
117,9631,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۳۰۹,/saadi/divan/ghazals/sh309,غزل شمارهٔ  ۳۰۹,افسر آریا,28244,F
118,9624,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۳۰۲,/saadi/divan/ghazals/sh302,غزل شمارهٔ  ۳۰۲,افسر آریا,24007,F
119,9623,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۳۰۱,/saadi/divan/ghazals/sh301,غزل شمارهٔ  ۳۰۱,افسر آریا,24006,F
120,9609,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۸۷,/saadi/divan/ghazals/sh287,غزل شمارهٔ  ۲۸۷,افسر آریا,27263,F
