poemId,poemFullTitle,poemFullUrl,audioTitle,audioArtist,recitationId
1323,فردوسی » شاهنامه » آغاز کتاب » بخش ۳ - گفتار اندر آفرینش عالم,/ferdousi/shahname/aghaz/sh3,بخش ۳ - گفتار اندر آفرینش عالم,فرهاد بشیریان,20535
1323,فردوسی » شاهنامه » آغاز کتاب » بخش ۳ - گفتار اندر آفرینش عالم,/ferdousi/shahname/aghaz/sh3,بخش ۳ - گفتار اندر آفرینش عالم,طاهره خان پور,23285
1261,خیام » رباعیات » رباعی شمارهٔ ۱۴۳,/khayyam/robaee/sh143,رباعی شمارهٔ ۱۴۳,زهرا بهمنی,9584
1261,خیام » رباعیات » رباعی شمارهٔ ۱۴۳,/khayyam/robaee/sh143,رباعی شمارهٔ ۱۴۳,داوود ملک زاده,1657
1261,خیام » رباعیات » رباعی شمارهٔ ۱۴۳,/khayyam/robaee/sh143,رباعی شمارهٔ ۱۴۳,نازنین بازیان,21490
1261,خیام » رباعیات » رباعی شمارهٔ ۱۴۳,/khayyam/robaee/sh143,رباعی شمارهٔ ۱۴۳,علی قلندری,24128
1189,خیام » رباعیات » رباعی شمارهٔ ۷۱,/khayyam/robaee/sh71,رباعی شمارهٔ ۷۱,داوود ملک زاده,1519
1189,خیام » رباعیات » رباعی شمارهٔ ۷۱,/khayyam/robaee/sh71,رباعی شمارهٔ ۷۱,زهرا بهمنی,14898
1189,خیام » رباعیات » رباعی شمارهٔ ۷۱,/khayyam/robaee/sh71,رباعی شمارهٔ ۷۱,نازنین بازیان,21093
1189,خیام » رباعیات » رباعی شمارهٔ ۷۱,/khayyam/robaee/sh71,رباعی شمارهٔ ۷۱,علی قلندری,24057
1189,خیام » رباعیات » رباعی شمارهٔ ۷۱,/khayyam/robaee/sh71,رباعی شمارهٔ ۷۱,علی پورزارع,25525
3157,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۳۳,/moulavi/shams/ghazalsh/sh533,غزل شمارهٔ ۵۳۳,علیرضا بخشی زاده روشنفکر,2490
3157,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۳۳,/moulavi/shams/ghazalsh/sh533,غزل شمارهٔ ۵۳۳,محسن لیله‌کوهی,5419
3157,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۳۳,/moulavi/shams/ghazalsh/sh533,غزل شمارهٔ ۵۳۳,علیرضا بخشی زاده روشنفکر,6344
3157,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۳۳,/moulavi/shams/ghazalsh/sh533,غزل شمارهٔ ۵۳۳,عندلیب,13365
3157,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۳۳,/moulavi/shams/ghazalsh/sh533,غزل شمارهٔ ۵۳۳,محمدرضا جراح زاده,20308
2926,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۲,/moulavi/shams/ghazalsh/sh302,غزل شمارهٔ ۳۰۲,زهرا بهمنی,4343
2926,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۲,/moulavi/shams/ghazalsh/sh302,غزل شمارهٔ ۳۰۲,اسماعیل فرازی کانال سکوت,1315
2926,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۲,/moulavi/shams/ghazalsh/sh302,غزل شمارهٔ ۳۰۲,علیرضا بخشی زاده روشنفکر,6167
2926,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۲,/moulavi/shams/ghazalsh/sh302,غزل شمارهٔ ۳۰۲,پری ساتکنی عندلیب,12022
